EX	EM	
nm	nm	
		Z of Processed Data: RM
585	598.208	24.7649431455639
585	599.894	15.875616624468
585	601.581	45.3284033725676
585	603.268	36.9517699625562
585	604.955	28.0205791892471
585	606.643	25.9309801746486
585	608.33	39.1202728711552
585	610.018	-26.0778258665002
585	611.705	31.0508185086537
585	613.394	52.499058263891
585	615.082	29.8782919646046
585	616.77	25.3344453168216
585	618.459	7.76365783085348
585	620.147	69.0522621012744
580	211.124	0
580	212.698	0
580	214.273	0
580	215.848	0
580	217.424	0
580	219.001	0
580	220.579	0
580	222.157	0
580	223.736	0
580	225.315	0
580	226.896	0
580	228.477	0
580	230.058	0
580	231.641	0
580	233.224	0
580	234.808	0
580	236.392	0
580	237.977	0
580	239.563	0
580	241.15	0
580	242.737	0
580	244.325	0
580	245.913	0
580	247.503	0
580	249.093	0
580	250.683	0
580	252.274	0
580	253.866	0
580	255.459	0
580	257.052	0
580	258.646	0
580	260.241	0
580	261.836	0
580	263.432	0
580	265.028	0
580	266.625	0
580	268.223	0
580	269.822	0
580	271.421	0
580	273.021	0
580	274.621	0
580	276.222	0
580	277.824	0
580	279.426	0
580	281.029	0
580	282.633	0
580	284.237	0
580	285.842	0
580	287.448	0
580	289.054	0
580	290.661	0
580	292.268	0
580	293.876	0
580	295.485	0
580	297.094	0
580	298.704	0
580	300.315	0
580	301.926	0
580	303.538	0
580	305.15	0
580	306.763	0
580	308.377	0
580	309.991	0
580	311.606	0
580	313.221	0
580	314.837	0
580	316.454	0
580	318.071	0
580	319.689	0
580	321.307	0
580	322.926	0
580	324.546	0
580	326.166	0
580	327.787	0
580	329.408	0
580	331.03	0
580	332.653	0
580	334.276	0
580	335.9	0
580	337.524	0
580	339.149	0
580	340.774	0
580	342.4	0
580	344.026	0
580	345.653	0
580	347.281	0
580	348.909	0
580	350.538	0
580	352.167	0
580	353.797	0
580	355.428	0
580	357.059	0
580	358.69	0
580	360.322	0
580	361.955	0
580	363.588	0
580	365.222	0
580	366.856	0
580	368.491	0
580	370.126	0
580	371.762	0
580	373.398	0
580	375.035	0
580	376.672	0
580	378.31	0
580	379.949	0
580	381.588	0
580	383.227	0
580	384.867	0
580	386.508	0
580	388.149	0
580	389.79	0
580	391.432	0
580	393.075	0
580	394.718	0
580	396.361	0
580	398.005	0
580	399.65	0
580	401.295	0
580	402.941	0
580	404.587	0
580	406.233	0
580	407.88	0
580	409.527	0
580	411.175	0
580	412.824	0
580	414.473	0
580	416.122	0
580	417.772	0
580	419.422	0
580	421.073	0
580	422.724	0
580	424.376	0
580	426.028	0
580	427.681	0
580	429.334	0
580	430.987	0
580	432.641	0
580	434.295	0
580	435.95	0
580	437.606	0
580	439.261	0
580	440.918	0
580	442.574	0
580	444.231	0
580	445.889	0
580	447.547	0
580	449.205	0
580	450.864	0
580	452.523	0
580	454.182	0
580	455.842	0
580	457.503	0
580	459.164	0
580	460.825	0
580	462.487	0
580	464.149	0
580	465.811	0
580	467.474	0
580	469.137	0
580	470.801	0
580	472.465	0
580	474.13	0
580	475.794	0
580	477.46	0
580	479.125	0
580	480.791	0
580	482.458	0
580	484.124	0
580	485.792	0
580	487.459	0
580	489.127	0
580	490.795	0
580	492.464	0
580	494.133	0
580	495.802	0
580	497.472	0
580	499.142	0
580	500.812	0
580	502.483	0
580	504.154	0
580	505.825	0
580	507.497	0
580	509.169	0
580	510.842	0
580	512.514	0
580	514.187	0
580	515.861	0
580	517.535	0
580	519.209	0
580	520.883	0
580	522.558	0
580	524.233	0
580	525.908	0
580	527.584	0
580	529.26	0
580	530.936	0
580	532.613	0
580	534.29	0
580	535.967	0
580	537.644	0
580	539.322	0
580	541	0
580	542.678	0
580	544.357	0
580	546.036	0
580	547.715	0
580	549.395	0
580	551.074	0
580	552.754	0
580	554.435	0
580	556.115	0
580	557.796	0
580	559.477	0
580	561.159	0
580	562.84	0
580	564.522	0
580	566.204	0
580	567.886	0
580	569.569	0
580	571.252	0
580	572.935	0
580	574.618	0
580	576.302	0
580	577.986	0
580	579.67	0
580	581.354	0
580	583.038	0
580	584.723	0
580	586.408	0
580	588.093	0
580	589.778	0
580	591.464	96.5627202247273
580	593.15	29.5688720675747
580	594.835	16.4268161442382
580	596.522	15.4776568803619
580	598.208	53.1175325177084
580	599.894	23.9178495801946
580	601.581	23.534355514377
580	603.268	18.6824513926416
580	604.955	53.9677087447572
580	606.643	41.0828952332509
580	608.33	26.1142387466827
580	610.018	-7.65093207106521
580	611.705	18.3489343714722
580	613.394	44.0844774999092
580	615.082	61.0339884172632
580	616.77	15.9495915779831
580	618.459	22.8412784714653
580	620.147	50.2263652150204
575	211.124	0
575	212.698	0
575	214.273	0
575	215.848	0
575	217.424	0
575	219.001	0
575	220.579	0
575	222.157	0
575	223.736	0
575	225.315	0
575	226.896	0
575	228.477	0
575	230.058	0
575	231.641	0
575	233.224	0
575	234.808	0
575	236.392	0
575	237.977	0
575	239.563	0
575	241.15	0
575	242.737	0
575	244.325	0
575	245.913	0
575	247.503	0
575	249.093	0
